股票代码,股票名称,当日涨幅,场景描述,时间段,涨概率,跌概率,平概率,最大涨幅,最小涨幅,收盘涨幅,成交量占比,样本数
000006.SZ,深振业A,large_down,今天大跌(-5% ~ -3%)，明天概率情况,竞价,50.0,50.0,0.0,-1.14,-1.85,-1.28,7.4,2
000006.SZ,深振业A,large_down,今天大跌(-5% ~ -3%)，明天概率情况,1分钟,50.0,50.0,0.0,0.0,0.0,0.0,0.0,2
000006.SZ,深振业A,large_down,今天大跌(-5% ~ -3%)，明天概率情况,5分钟,50.0,50.0,0.0,1.4,-0.92,0.85,0.0,2
000006.SZ,深振业A,large_down,今天大跌(-5% ~ -3%)，明天概率情况,15分钟,50.0,50.0,0.0,1.48,-0.36,1.01,0.0,2
000006.SZ,深振业A,large_down,今天大跌(-5% ~ -3%)，明天概率情况,30分钟,50.0,50.0,0.0,2.02,-0.57,1.4,0.0,2
000006.SZ,深振业A,large_down,今天大跌(-5% ~ -3%)，明天概率情况,1小时,100.0,0.0,0.0,1.86,-0.07,1.79,0.0,2
000006.SZ,深振业A,1-3,今天1-3%，明天概率情况,竞价,14.29,85.71,0.0,-1.46,-1.9,-1.76,5.38,7
000006.SZ,深振业A,1-3,今天1-3%，明天概率情况,1分钟,14.29,85.71,0.0,0.0,0.0,0.0,0.0,7
000006.SZ,深振业A,1-3,今天1-3%，明天概率情况,5分钟,14.29,85.71,0.0,0.3,-0.7,0.14,0.0,7
000006.SZ,深振业A,1-3,今天1-3%，明天概率情况,15分钟,0.0,100.0,0.0,0.45,-0.69,0.0,0.0,7
000006.SZ,深振业A,1-3,今天1-3%，明天概率情况,30分钟,14.29,85.71,0.0,0.15,-0.75,0.13,0.0,7
000006.SZ,深振业A,1-3,今天1-3%，明天概率情况,1小时,0.0,100.0,0.0,0.23,-0.79,0.0,0.0,7
000006.SZ,深振业A,small_down,今天小跌(-1% ~ 0)，明天概率情况,竞价,0.0,100.0,0.0,-1.12,-1.68,-1.68,3.66,2
000006.SZ,深振业A,small_down,今天小跌(-1% ~ 0)，明天概率情况,1分钟,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2
000006.SZ,深振业A,small_down,今天小跌(-1% ~ 0)，明天概率情况,5分钟,0.0,100.0,0.0,1.38,-0.92,0.0,0.0,2
000006.SZ,深振业A,small_down,今天小跌(-1% ~ 0)，明天概率情况,15分钟,50.0,50.0,0.0,1.0,-0.35,0.61,0.0,2
000006.SZ,深振业A,small_down,今天小跌(-1% ~ 0)，明天概率情况,30分钟,100.0,0.0,0.0,1.3,-0.42,0.54,0.0,2
000006.SZ,深振业A,small_down,今天小跌(-1% ~ 0)，明天概率情况,1小时,50.0,50.0,0.0,1.3,-1.12,0.84,0.0,2
000006.SZ,深振业A,micro_up,今天微涨(0 ~ 1%)，明天概率情况,竞价,100.0,0.0,0.0,0.71,0.42,0.71,2.02,3
000006.SZ,深振业A,micro_up,今天微涨(0 ~ 1%)，明天概率情况,1分钟,100.0,0.0,0.0,0.0,0.0,0.0,0.0,3
000006.SZ,深振业A,micro_up,今天微涨(0 ~ 1%)，明天概率情况,5分钟,100.0,0.0,0.0,2.05,-0.05,2.0,0.0,3
000006.SZ,深振业A,micro_up,今天微涨(0 ~ 1%)，明天概率情况,15分钟,100.0,0.0,0.0,1.65,-0.28,1.4,0.0,3
