股票代码,股票名称,当日涨幅,场景描述,时间段,涨概率,跌概率,平概率,最大涨幅,最小涨幅,收盘涨幅,成交量占比,样本数
000683.SZ,远兴能源,1-3,今天1-3%，明天概率情况,竞价,40.74,46.91,12.35,-0.11,-0.87,-0.87,0.73,81
000683.SZ,远兴能源,1-3,今天1-3%，明天概率情况,1分钟,46.91,45.68,7.41,0.0,0.0,0.0,0.0,81
000683.SZ,远兴能源,1-3,今天1-3%，明天概率情况,5分钟,51.85,45.68,2.47,0.09,-0.07,0.06,0.0,81
000683.SZ,远兴能源,1-3,今天1-3%，明天概率情况,15分钟,44.44,49.38,6.17,0.09,-0.07,0.05,0.0,81
000683.SZ,远兴能源,1-3,今天1-3%，明天概率情况,30分钟,49.38,43.21,7.41,0.09,-0.07,0.05,0.0,81
000683.SZ,远兴能源,1-3,今天1-3%，明天概率情况,1小时,43.21,51.85,4.94,0.09,-0.07,0.06,0.0,81
000683.SZ,远兴能源,flat,今天平开(涨幅=0%)  ，明天概率情况,竞价,38.89,44.44,16.67,-0.41,-0.55,-0.55,0.71,18
000683.SZ,远兴能源,flat,今天平开(涨幅=0%)  ，明天概率情况,1分钟,33.33,33.33,33.33,0.0,0.0,0.0,0.0,18
000683.SZ,远兴能源,flat,今天平开(涨幅=0%)  ，明天概率情况,5分钟,44.44,38.89,16.67,0.23,-0.08,0.22,0.0,18
000683.SZ,远兴能源,flat,今天平开(涨幅=0%)  ，明天概率情况,15分钟,55.56,44.44,0.0,0.25,-0.09,0.19,0.0,18
000683.SZ,远兴能源,flat,今天平开(涨幅=0%)  ，明天概率情况,30分钟,61.11,27.78,11.11,0.25,-0.09,0.16,0.0,18
000683.SZ,远兴能源,flat,今天平开(涨幅=0%)  ，明天概率情况,1小时,55.56,33.33,11.11,0.25,-0.1,0.14,0.0,18
000683.SZ,远兴能源,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,竞价,40.5,43.8,15.7,0.32,0.11,0.32,0.36,121
000683.SZ,远兴能源,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,1分钟,37.19,48.76,14.05,0.0,0.0,0.0,0.0,121
000683.SZ,远兴能源,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,5分钟,46.28,45.45,8.26,0.05,-0.06,0.05,0.0,121
000683.SZ,远兴能源,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,15分钟,45.45,49.59,4.96,0.06,-0.06,0.04,0.0,121
000683.SZ,远兴能源,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,30分钟,43.8,52.89,3.31,0.06,-0.06,0.04,0.0,121
000683.SZ,远兴能源,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,1小时,36.36,56.2,7.44,0.06,-0.06,0.04,0.0,121
000683.SZ,远兴能源,micro_up,今天微涨(0 ~ 1%)，明天概率情况,竞价,37.65,45.88,16.47,-0.33,-0.33,-0.33,0.33,85
000683.SZ,远兴能源,micro_up,今天微涨(0 ~ 1%)，明天概率情况,1分钟,37.65,44.71,17.65,0.0,0.0,0.0,0.0,85
000683.SZ,远兴能源,micro_up,今天微涨(0 ~ 1%)，明天概率情况,5分钟,36.47,57.65,5.88,0.07,-0.07,0.04,0.0,85
000683.SZ,远兴能源,micro_up,今天微涨(0 ~ 1%)，明天概率情况,15分钟,37.65,60.0,2.35,0.07,-0.07,0.07,0.0,85
000683.SZ,远兴能源,micro_up,今天微涨(0 ~ 1%)，明天概率情况,30分钟,40.0,51.76,8.24,0.08,-0.07,0.06,0.0,85
000683.SZ,远兴能源,micro_up,今天微涨(0 ~ 1%)，明天概率情况,1小时,38.82,56.47,4.71,0.08,-0.07,0.07,0.0,85
000683.SZ,远兴能源,small_down,今天小跌(-1% ~ 0)，明天概率情况,竞价,31.48,45.37,23.15,-0.64,-0.75,-0.75,0.94,108
000683.SZ,远兴能源,small_down,今天小跌(-1% ~ 0)，明天概率情况,1分钟,33.33,51.85,14.81,0.0,0.0,0.0,0.0,108
