当日涨幅,场景描述,时间段,涨概率,跌概率,平概率,样本数
large_down,今天大跌(跌幅<-5%)，第二天概率情况,竞价,78.57,21.43,0.0,14
large_down,今天大跌(跌幅<-5%)，第二天概率情况,1分钟,92.86,0.0,7.14,14
large_down,今天大跌(跌幅<-5%)，第二天概率情况,5分钟,92.86,0.0,7.14,14
large_down,今天大跌(跌幅<-5%)，第二天概率情况,15分钟,92.86,0.0,7.14,14
large_down,今天大跌(跌幅<-5%)，第二天概率情况,30分钟,92.86,0.0,7.14,14
large_down,今天大跌(跌幅<-5%)，第二天概率情况,1小时,92.86,0.0,7.14,14
micro_up,今天微涨(涨幅<1%)，第二天概率情况,竞价,33.33,66.67,0.0,12
micro_up,今天微涨(涨幅<1%)，第二天概率情况,1分钟,33.33,66.67,0.0,12
micro_up,今天微涨(涨幅<1%)，第二天概率情况,5分钟,33.33,66.67,0.0,12
micro_up,今天微涨(涨幅<1%)，第二天概率情况,15分钟,33.33,66.67,0.0,12
micro_up,今天微涨(涨幅<1%)，第二天概率情况,30分钟,33.33,66.67,0.0,12
micro_up,今天微涨(涨幅<1%)，第二天概率情况,1小时,33.33,66.67,0.0,12
1-3,今天1-3%，明天概率情况,竞价,47.06,52.94,0.0,17
1-3,今天1-3%，明天概率情况,1分钟,29.41,58.82,11.76,17
1-3,今天1-3%，明天概率情况,5分钟,29.41,58.82,11.76,17
1-3,今天1-3%，明天概率情况,15分钟,29.41,58.82,11.76,17
1-3,今天1-3%，明天概率情况,30分钟,29.41,58.82,11.76,17
1-3,今天1-3%，明天概率情况,1小时,29.41,58.82,11.76,17
small_down,今天小跌(跌幅<-1%)，第二天概率情况,竞价,25.0,75.0,0.0,8
small_down,今天小跌(跌幅<-1%)，第二天概率情况,1分钟,75.0,25.0,0.0,8
small_down,今天小跌(跌幅<-1%)，第二天概率情况,5分钟,75.0,25.0,0.0,8
small_down,今天小跌(跌幅<-1%)，第二天概率情况,15分钟,75.0,25.0,0.0,8
small_down,今天小跌(跌幅<-1%)，第二天概率情况,30分钟,75.0,25.0,0.0,8
small_down,今天小跌(跌幅<-1%)，第二天概率情况,1小时,75.0,25.0,0.0,8
3-5,今天3-5%，明天概率情况,竞价,5.26,94.74,0.0,19
3-5,今天3-5%，明天概率情况,1分钟,5.26,94.74,0.0,19
3-5,今天3-5%，明天概率情况,5分钟,5.26,94.74,0.0,19
3-5,今天3-5%，明天概率情况,15分钟,5.26,94.74,0.0,19
3-5,今天3-5%，明天概率情况,30分钟,5.26,94.74,0.0,19
3-5,今天3-5%，明天概率情况,1小时,5.26,94.74,0.0,19
medium_down,今天中跌(跌幅<-3%)，第二天概率情况,竞价,22.22,66.67,11.11,9
medium_down,今天中跌(跌幅<-3%)，第二天概率情况,1分钟,66.67,33.33,0.0,9
medium_down,今天中跌(跌幅<-3%)，第二天概率情况,5分钟,66.67,33.33,0.0,9
medium_down,今天中跌(跌幅<-3%)，第二天概率情况,15分钟,66.67,33.33,0.0,9
medium_down,今天中跌(跌幅<-3%)，第二天概率情况,30分钟,66.67,33.33,0.0,9
medium_down,今天中跌(跌幅<-3%)，第二天概率情况,1小时,66.67,33.33,0.0,9
涨停,今天涨停(涨幅>=7%)，第二天概率情况,竞价,7.14,92.86,0.0,14
涨停,今天涨停(涨幅>=7%)，第二天概率情况,1分钟,0.0,100.0,0.0,14
涨停,今天涨停(涨幅>=7%)，第二天概率情况,5分钟,0.0,100.0,0.0,14
涨停,今天涨停(涨幅>=7%)，第二天概率情况,15分钟,0.0,100.0,0.0,14
涨停,今天涨停(涨幅>=7%)，第二天概率情况,30分钟,0.0,100.0,0.0,14
涨停,今天涨停(涨幅>=7%)，第二天概率情况,1小时,0.0,100.0,0.0,14
limit_down,今天跌停(跌幅<=-5%)，第二天概率情况,竞价,100.0,0.0,0.0,13
limit_down,今天跌停(跌幅<=-5%)，第二天概率情况,1分钟,92.31,0.0,7.69,13
limit_down,今天跌停(跌幅<=-5%)，第二天概率情况,5分钟,92.31,0.0,7.69,13
limit_down,今天跌停(跌幅<=-5%)，第二天概率情况,15分钟,92.31,0.0,7.69,13
limit_down,今天跌停(跌幅<=-5%)，第二天概率情况,30分钟,92.31,0.0,7.69,13
limit_down,今天跌停(跌幅<=-5%)，第二天概率情况,1小时,92.31,0.0,7.69,13
flat,今天平开(涨幅=0%)，第二天概率情况,竞价,25.0,75.0,0.0,4
flat,今天平开(涨幅=0%)，第二天概率情况,1分钟,50.0,50.0,0.0,4
flat,今天平开(涨幅=0%)，第二天概率情况,5分钟,50.0,50.0,0.0,4
flat,今天平开(涨幅=0%)，第二天概率情况,15分钟,50.0,50.0,0.0,4
flat,今天平开(涨幅=0%)，第二天概率情况,30分钟,50.0,50.0,0.0,4
flat,今天平开(涨幅=0%)，第二天概率情况,1小时,50.0,50.0,0.0,4
5-7,今天5-7%，明天概率情况,竞价,0.0,100.0,0.0,2
5-7,今天5-7%，明天概率情况,1分钟,0.0,100.0,0.0,2
5-7,今天5-7%，明天概率情况,5分钟,0.0,100.0,0.0,2
5-7,今天5-7%，明天概率情况,15分钟,0.0,100.0,0.0,2
5-7,今天5-7%，明天概率情况,30分钟,0.0,100.0,0.0,2
5-7,今天5-7%，明天概率情况,1小时,0.0,100.0,0.0,2
7-9,今天7-9%，明天概率情况,竞价,0.0,100.0,0.0,3
7-9,今天7-9%，明天概率情况,1分钟,0.0,100.0,0.0,3
7-9,今天7-9%，明天概率情况,5分钟,0.0,100.0,0.0,3
7-9,今天7-9%，明天概率情况,15分钟,0.0,100.0,0.0,3
7-9,今天7-9%，明天概率情况,30分钟,0.0,100.0,0.0,3
7-9,今天7-9%，明天概率情况,1小时,0.0,100.0,0.0,3
