当日涨幅,场景描述,时间段,涨概率,跌概率,平概率,样本数,最大涨幅,最小涨幅,收盘涨幅
medium_down,今天中跌(-3% ~ -1%)，明天概率情况,竞价,66.67,33.33,0.0,6,,,
medium_down,今天中跌(-3% ~ -1%)，明天概率情况,1分钟,66.67,33.33,0.0,6,,,
medium_down,今天中跌(-3% ~ -1%)，明天概率情况,5分钟,66.67,33.33,0.0,6,0.8,-1.12,0.77
medium_down,今天中跌(-3% ~ -1%)，明天概率情况,15分钟,83.33,16.67,0.0,6,0.68,-0.36,0.68
medium_down,今天中跌(-3% ~ -1%)，明天概率情况,30分钟,66.67,16.67,16.67,6,0.58,-0.52,0.48
medium_down,今天中跌(-3% ~ -1%)，明天概率情况,1小时,83.33,16.67,0.0,6,0.54,-0.47,0.51
1-3,今天1-3%，明天概率情况,竞价,0.0,100.0,0.0,3,,,
1-3,今天1-3%，明天概率情况,1分钟,0.0,100.0,0.0,3,,,
1-3,今天1-3%，明天概率情况,5分钟,0.0,100.0,0.0,3,0.78,-1.36,0.0
1-3,今天1-3%，明天概率情况,15分钟,33.33,66.67,0.0,3,0.78,-1.21,0.55
1-3,今天1-3%，明天概率情况,30分钟,0.0,100.0,0.0,3,0.0,-1.67,0.0
1-3,今天1-3%，明天概率情况,1小时,0.0,100.0,0.0,3,1.89,-1.32,0.0
涨停,今天涨停()涨停，明天概率情况,竞价,0.0,100.0,0.0,3,,,
涨停,今天涨停()涨停，明天概率情况,1分钟,0.0,100.0,0.0,3,,,
涨停,今天涨停()涨停，明天概率情况,5分钟,0.0,100.0,0.0,3,0.0,-3.07,0.0
涨停,今天涨停()涨停，明天概率情况,15分钟,0.0,100.0,0.0,3,0.0,-3.32,0.0
涨停,今天涨停()涨停，明天概率情况,30分钟,0.0,100.0,0.0,3,0.0,-3.32,0.0
涨停,今天涨停()涨停，明天概率情况,1小时,0.0,100.0,0.0,3,0.0,-3.27,0.0
limit_down,今天跌停(-5% ~ -7%)，明天概率情况,竞价,100.0,0.0,0.0,1,,,
limit_down,今天跌停(-5% ~ -7%)，明天概率情况,1分钟,100.0,0.0,0.0,1,,,
limit_down,今天跌停(-5% ~ -7%)，明天概率情况,5分钟,100.0,0.0,0.0,1,8.46,0.0,5.29
limit_down,今天跌停(-5% ~ -7%)，明天概率情况,15分钟,100.0,0.0,0.0,1,5.74,0.0,5.14
limit_down,今天跌停(-5% ~ -7%)，明天概率情况,30分钟,100.0,0.0,0.0,1,5.29,0.0,5.14
limit_down,今天跌停(-5% ~ -7%)，明天概率情况,1小时,100.0,0.0,0.0,1,6.19,0.0,4.38
3-5,今天3-5%，明天概率情况,竞价,0.0,100.0,0.0,3,,,
3-5,今天3-5%，明天概率情况,1分钟,0.0,100.0,0.0,3,,,
3-5,今天3-5%，明天概率情况,5分钟,0.0,100.0,0.0,3,0.0,-4.21,0.0
3-5,今天3-5%，明天概率情况,15分钟,0.0,100.0,0.0,3,0.0,-3.67,0.0
3-5,今天3-5%，明天概率情况,30分钟,0.0,100.0,0.0,3,0.0,-1.36,0.0
3-5,今天3-5%，明天概率情况,1小时,0.0,100.0,0.0,3,0.0,-1.36,0.0
large_down,今天大跌(-5% ~ -3%)，明天概率情况,竞价,100.0,0.0,0.0,2,,,
large_down,今天大跌(-5% ~ -3%)，明天概率情况,1分钟,100.0,0.0,0.0,2,,,
large_down,今天大跌(-5% ~ -3%)，明天概率情况,5分钟,100.0,0.0,0.0,2,4.75,0.0,4.75
large_down,今天大跌(-5% ~ -3%)，明天概率情况,15分钟,100.0,0.0,0.0,2,3.95,0.0,3.3
large_down,今天大跌(-5% ~ -3%)，明天概率情况,30分钟,100.0,0.0,0.0,2,2.5,0.0,2.42
large_down,今天大跌(-5% ~ -3%)，明天概率情况,1小时,100.0,0.0,0.0,2,2.58,0.0,2.01
small_down,今天小跌(-1% ~ 0)，明天概率情况,竞价,0.0,100.0,0.0,1,,,
small_down,今天小跌(-1% ~ 0)，明天概率情况,1分钟,0.0,100.0,0.0,1,,,
small_down,今天小跌(-1% ~ 0)，明天概率情况,5分钟,0.0,100.0,0.0,1,0.71,-0.88,0.0
small_down,今天小跌(-1% ~ 0)，明天概率情况,15分钟,100.0,0.0,0.0,1,1.77,0.0,0.71
small_down,今天小跌(-1% ~ 0)，明天概率情况,30分钟,100.0,0.0,0.0,1,1.77,0.0,1.77
small_down,今天小跌(-1% ~ 0)，明天概率情况,1小时,100.0,0.0,0.0,1,2.65,0.0,1.59
micro_up,今天微涨(0 ~ 1%)，明天概率情况,竞价,100.0,0.0,0.0,2,,,
micro_up,今天微涨(0 ~ 1%)，明天概率情况,1分钟,100.0,0.0,0.0,2,,,
micro_up,今天微涨(0 ~ 1%)，明天概率情况,5分钟,100.0,0.0,0.0,2,1.23,-0.51,0.79
micro_up,今天微涨(0 ~ 1%)，明天概率情况,15分钟,50.0,50.0,0.0,2,1.41,-0.51,1.14
micro_up,今天微涨(0 ~ 1%)，明天概率情况,30分钟,50.0,50.0,0.0,2,1.14,-0.94,0.97
micro_up,今天微涨(0 ~ 1%)，明天概率情况,1小时,50.0,50.0,0.0,2,0.53,-0.85,0.35
flat,今天平开(涨幅=0%)  ，明天概率情况,竞价,0.0,100.0,0.0,1,,,
flat,今天平开(涨幅=0%)  ，明天概率情况,1分钟,0.0,100.0,0.0,1,,,
flat,今天平开(涨幅=0%)  ，明天概率情况,5分钟,0.0,100.0,0.0,1,0.0,-3.7,0.0
flat,今天平开(涨幅=0%)  ，明天概率情况,15分钟,0.0,100.0,0.0,1,0.0,-3.35,0.0
flat,今天平开(涨幅=0%)  ，明天概率情况,30分钟,0.0,100.0,0.0,1,0.0,-2.29,0.0
flat,今天平开(涨幅=0%)  ，明天概率情况,1小时,0.0,100.0,0.0,1,2.47,-1.23,0.0
