当日涨幅,场景描述,时间段,涨概率,跌概率,平概率,最大涨幅,最小涨幅,收盘涨幅,样本数
medium_down,今天中跌(-3% ~ -1%)，明天概率情况,竞价,75.0,25.0,0.0,,,,
medium_down,今天中跌(-3% ~ -1%)，明天概率情况,1分钟,75.0,25.0,0.0,,,,
medium_down,今天中跌(-3% ~ -1%)，明天概率情况,5分钟,75.0,25.0,0.0,0.55,-0.42,0.5,16.0
medium_down,今天中跌(-3% ~ -1%)，明天概率情况,15分钟,87.5,12.5,0.0,0.39,-0.16,0.37,16.0
medium_down,今天中跌(-3% ~ -1%)，明天概率情况,30分钟,81.25,12.5,6.25,0.35,-0.2,0.31,16.0
medium_down,今天中跌(-3% ~ -1%)，明天概率情况,1小时,81.25,18.75,0.0,0.32,-0.18,0.26,16.0
1-3,今天1-3%，明天概率情况,竞价,25.0,75.0,0.0,,,,
1-3,今天1-3%，明天概率情况,1分钟,25.0,75.0,0.0,,,,
1-3,今天1-3%，明天概率情况,5分钟,25.0,75.0,0.0,0.29,-0.66,0.24,8.0
1-3,今天1-3%，明天概率情况,15分钟,12.5,87.5,0.0,0.29,-0.6,0.21,8.0
1-3,今天1-3%，明天概率情况,30分钟,12.5,87.5,0.0,0.13,-0.63,0.06,8.0
1-3,今天1-3%，明天概率情况,1小时,25.0,75.0,0.0,0.71,-0.53,0.11,8.0
涨停,今天涨停()涨停，明天概率情况,竞价,0.0,100.0,0.0,,,,
涨停,今天涨停()涨停，明天概率情况,1分钟,0.0,100.0,0.0,,,,
涨停,今天涨停()涨停，明天概率情况,5分钟,0.0,100.0,0.0,0.0,-3.07,0.0,3.0
涨停,今天涨停()涨停，明天概率情况,15分钟,0.0,100.0,0.0,0.0,-3.32,0.0,3.0
涨停,今天涨停()涨停，明天概率情况,30分钟,0.0,100.0,0.0,0.0,-3.32,0.0,3.0
涨停,今天涨停()涨停，明天概率情况,1小时,0.0,100.0,0.0,0.0,-3.27,0.0,3.0
limit_down,今天跌停(-5% ~ -7%)，明天概率情况,竞价,100.0,0.0,0.0,,,,
limit_down,今天跌停(-5% ~ -7%)，明天概率情况,1分钟,100.0,0.0,0.0,,,,
limit_down,今天跌停(-5% ~ -7%)，明天概率情况,5分钟,100.0,0.0,0.0,3.19,0.0,1.83,3.0
limit_down,今天跌停(-5% ~ -7%)，明天概率情况,15分钟,100.0,0.0,0.0,3.04,0.0,3.04,3.0
limit_down,今天跌停(-5% ~ -7%)，明天概率情况,30分钟,100.0,0.0,0.0,2.62,0.0,2.25,3.0
limit_down,今天跌停(-5% ~ -7%)，明天概率情况,1小时,100.0,0.0,0.0,2.77,0.0,2.04,3.0
3-5,今天3-5%，明天概率情况,竞价,0.0,100.0,0.0,,,,
3-5,今天3-5%，明天概率情况,1分钟,0.0,100.0,0.0,,,,
3-5,今天3-5%，明天概率情况,5分钟,0.0,100.0,0.0,0.0,-3.16,0.0,4.0
3-5,今天3-5%，明天概率情况,15分钟,0.0,100.0,0.0,0.0,-2.76,0.0,4.0
3-5,今天3-5%，明天概率情况,30分钟,0.0,100.0,0.0,0.0,-1.02,0.0,4.0
3-5,今天3-5%，明天概率情况,1小时,0.0,100.0,0.0,0.0,-1.02,0.0,4.0
large_down,今天大跌(-5% ~ -3%)，明天概率情况,竞价,100.0,0.0,0.0,,,,
large_down,今天大跌(-5% ~ -3%)，明天概率情况,1分钟,100.0,0.0,0.0,,,,
large_down,今天大跌(-5% ~ -3%)，明天概率情况,5分钟,100.0,0.0,0.0,1.9,0.0,1.9,5.0
large_down,今天大跌(-5% ~ -3%)，明天概率情况,15分钟,100.0,0.0,0.0,1.58,0.0,1.39,5.0
large_down,今天大跌(-5% ~ -3%)，明天概率情况,30分钟,100.0,0.0,0.0,1.59,0.0,1.48,5.0
large_down,今天大跌(-5% ~ -3%)，明天概率情况,1小时,100.0,0.0,0.0,1.74,0.0,1.48,5.0
small_down,今天小跌(-1% ~ 0)，明天概率情况,竞价,71.43,28.57,0.0,,,,
small_down,今天小跌(-1% ~ 0)，明天概率情况,1分钟,71.43,28.57,0.0,,,,
small_down,今天小跌(-1% ~ 0)，明天概率情况,5分钟,71.43,28.57,0.0,1.01,-0.69,0.88,7.0
small_down,今天小跌(-1% ~ 0)，明天概率情况,15分钟,71.43,28.57,0.0,0.81,-0.56,0.73,7.0
small_down,今天小跌(-1% ~ 0)，明天概率情况,30分钟,85.71,14.29,0.0,0.78,-0.36,0.78,7.0
small_down,今天小跌(-1% ~ 0)，明天概率情况,1小时,85.71,14.29,0.0,0.67,-0.28,0.54,7.0
micro_up,今天微涨(0 ~ 1%)，明天概率情况,竞价,62.5,37.5,0.0,,,,
micro_up,今天微涨(0 ~ 1%)，明天概率情况,1分钟,62.5,37.5,0.0,,,,
micro_up,今天微涨(0 ~ 1%)，明天概率情况,5分钟,62.5,37.5,0.0,0.74,-0.24,0.62,8.0
micro_up,今天微涨(0 ~ 1%)，明天概率情况,15分钟,25.0,62.5,12.5,0.53,-0.18,0.49,8.0
micro_up,今天微涨(0 ~ 1%)，明天概率情况,30分钟,62.5,37.5,0.0,0.55,-0.29,0.37,8.0
