当日涨幅,场景描述,时间段,涨概率,跌概率,平概率,样本数
medium_down,今天中跌(跌幅<-3%)，第二天概率情况,竞价,72.73,27.27,0.0,22
medium_down,今天中跌(跌幅<-3%)，第二天概率情况,1分钟,72.73,27.27,0.0,22
medium_down,今天中跌(跌幅<-3%)，第二天概率情况,5分钟,72.73,27.27,0.0,22
medium_down,今天中跌(跌幅<-3%)，第二天概率情况,15分钟,77.27,22.73,0.0,22
medium_down,今天中跌(跌幅<-3%)，第二天概率情况,30分钟,81.82,13.64,4.55,22
medium_down,今天中跌(跌幅<-3%)，第二天概率情况,1小时,81.82,18.18,0.0,22
1-3,今天1-3%，明天概率情况,竞价,28.57,71.43,0.0,21
1-3,今天1-3%，明天概率情况,1分钟,23.81,76.19,0.0,21
1-3,今天1-3%，明天概率情况,5分钟,23.81,76.19,0.0,21
1-3,今天1-3%，明天概率情况,15分钟,14.29,85.71,0.0,21
1-3,今天1-3%，明天概率情况,30分钟,14.29,85.71,0.0,21
1-3,今天1-3%，明天概率情况,1小时,28.57,71.43,0.0,21
涨停,今天涨停(涨幅>=7%)，第二天概率情况,竞价,0.0,100.0,0.0,7
涨停,今天涨停(涨幅>=7%)，第二天概率情况,1分钟,0.0,100.0,0.0,7
涨停,今天涨停(涨幅>=7%)，第二天概率情况,5分钟,0.0,100.0,0.0,7
涨停,今天涨停(涨幅>=7%)，第二天概率情况,15分钟,0.0,100.0,0.0,7
涨停,今天涨停(涨幅>=7%)，第二天概率情况,30分钟,0.0,100.0,0.0,7
涨停,今天涨停(涨幅>=7%)，第二天概率情况,1小时,0.0,100.0,0.0,7
limit_down,今天跌停(跌幅<=-5%)，第二天概率情况,竞价,100.0,0.0,0.0,7
limit_down,今天跌停(跌幅<=-5%)，第二天概率情况,1分钟,100.0,0.0,0.0,7
limit_down,今天跌停(跌幅<=-5%)，第二天概率情况,5分钟,100.0,0.0,0.0,7
limit_down,今天跌停(跌幅<=-5%)，第二天概率情况,15分钟,100.0,0.0,0.0,7
limit_down,今天跌停(跌幅<=-5%)，第二天概率情况,30分钟,100.0,0.0,0.0,7
limit_down,今天跌停(跌幅<=-5%)，第二天概率情况,1小时,100.0,0.0,0.0,7
3-5,今天3-5%，明天概率情况,竞价,10.0,90.0,0.0,10
3-5,今天3-5%，明天概率情况,1分钟,10.0,90.0,0.0,10
3-5,今天3-5%，明天概率情况,5分钟,12.5,87.5,0.0,8
3-5,今天3-5%，明天概率情况,15分钟,0.0,100.0,0.0,10
3-5,今天3-5%，明天概率情况,30分钟,0.0,100.0,0.0,10
3-5,今天3-5%，明天概率情况,1小时,0.0,100.0,0.0,10
large_down,今天大跌(跌幅<-5%)，第二天概率情况,竞价,100.0,0.0,0.0,10
large_down,今天大跌(跌幅<-5%)，第二天概率情况,1分钟,100.0,0.0,0.0,10
large_down,今天大跌(跌幅<-5%)，第二天概率情况,5分钟,100.0,0.0,0.0,10
large_down,今天大跌(跌幅<-5%)，第二天概率情况,15分钟,100.0,0.0,0.0,10
large_down,今天大跌(跌幅<-5%)，第二天概率情况,30分钟,100.0,0.0,0.0,10
large_down,今天大跌(跌幅<-5%)，第二天概率情况,1小时,100.0,0.0,0.0,10
small_down,今天小跌(跌幅<-1%)，第二天概率情况,竞价,58.33,33.33,8.33,12
small_down,今天小跌(跌幅<-1%)，第二天概率情况,1分钟,58.33,33.33,8.33,12
