当日涨幅,场景描述,时间段,涨概率,跌概率,平概率,样本数
medium_down,今天中跌(跌幅<-3%)，第二天概率情况,竞价,0,0,0,0
medium_down,今天中跌(跌幅<-3%)，第二天概率情况,1分钟,0,0,0,0
medium_down,今天中跌(跌幅<-3%)，第二天概率情况,5分钟,0,0,0,0
medium_down,今天中跌(跌幅<-3%)，第二天概率情况,15分钟,0,0,0,0
medium_down,今天中跌(跌幅<-3%)，第二天概率情况,30分钟,0,0,0,0
medium_down,今天中跌(跌幅<-3%)，第二天概率情况,1小时,0,0,0,0
1-3,今天1-3%，明天概率情况,竞价,0,0,0,0
1-3,今天1-3%，明天概率情况,1分钟,0,0,0,0
1-3,今天1-3%，明天概率情况,5分钟,0,0,0,0
1-3,今天1-3%，明天概率情况,15分钟,0,0,0,0
1-3,今天1-3%，明天概率情况,30分钟,0,0,0,0
1-3,今天1-3%，明天概率情况,1小时,0,0,0,0
涨停,今天涨停(涨幅>=7%)，第二天概率情况,竞价,0,0,0,0
涨停,今天涨停(涨幅>=7%)，第二天概率情况,1分钟,0,0,0,0
涨停,今天涨停(涨幅>=7%)，第二天概率情况,5分钟,0,0,0,0
涨停,今天涨停(涨幅>=7%)，第二天概率情况,15分钟,0,0,0,0
涨停,今天涨停(涨幅>=7%)，第二天概率情况,30分钟,0,0,0,0
涨停,今天涨停(涨幅>=7%)，第二天概率情况,1小时,0,0,0,0
limit_down,今天跌停(跌幅<=-5%)，第二天概率情况,竞价,0,0,0,0
limit_down,今天跌停(跌幅<=-5%)，第二天概率情况,1分钟,0,0,0,0
limit_down,今天跌停(跌幅<=-5%)，第二天概率情况,5分钟,0,0,0,0
limit_down,今天跌停(跌幅<=-5%)，第二天概率情况,15分钟,0,0,0,0
limit_down,今天跌停(跌幅<=-5%)，第二天概率情况,30分钟,0,0,0,0
limit_down,今天跌停(跌幅<=-5%)，第二天概率情况,1小时,0,0,0,0
3-5,今天3-5%，明天概率情况,竞价,0,0,0,0
3-5,今天3-5%，明天概率情况,1分钟,0,0,0,0
3-5,今天3-5%，明天概率情况,5分钟,0,0,0,0
3-5,今天3-5%，明天概率情况,15分钟,0,0,0,0
3-5,今天3-5%，明天概率情况,30分钟,0,0,0,0
3-5,今天3-5%，明天概率情况,1小时,0,0,0,0
large_down,今天大跌(跌幅<-5%)，第二天概率情况,竞价,0,0,0,0
large_down,今天大跌(跌幅<-5%)，第二天概率情况,1分钟,0,0,0,0
large_down,今天大跌(跌幅<-5%)，第二天概率情况,5分钟,0,0,0,0
large_down,今天大跌(跌幅<-5%)，第二天概率情况,15分钟,0,0,0,0
large_down,今天大跌(跌幅<-5%)，第二天概率情况,30分钟,0,0,0,0
large_down,今天大跌(跌幅<-5%)，第二天概率情况,1小时,0,0,0,0
small_down,今天小跌(跌幅<-1%)，第二天概率情况,竞价,0,0,0,0
small_down,今天小跌(跌幅<-1%)，第二天概率情况,1分钟,0,0,0,0
small_down,今天小跌(跌幅<-1%)，第二天概率情况,5分钟,0,0,0,0
small_down,今天小跌(跌幅<-1%)，第二天概率情况,15分钟,0,0,0,0
small_down,今天小跌(跌幅<-1%)，第二天概率情况,30分钟,0,0,0,0
small_down,今天小跌(跌幅<-1%)，第二天概率情况,1小时,0,0,0,0
micro_up,今天微涨(涨幅<1%)，第二天概率情况,竞价,0,0,0,0
micro_up,今天微涨(涨幅<1%)，第二天概率情况,1分钟,0,0,0,0
micro_up,今天微涨(涨幅<1%)，第二天概率情况,5分钟,0,0,0,0
micro_up,今天微涨(涨幅<1%)，第二天概率情况,15分钟,0,0,0,0
micro_up,今天微涨(涨幅<1%)，第二天概率情况,30分钟,0,0,0,0
micro_up,今天微涨(涨幅<1%)，第二天概率情况,1小时,0,0,0,0
flat,今天平开(涨幅=0%)，第二天概率情况,竞价,0,0,0,0
flat,今天平开(涨幅=0%)，第二天概率情况,1分钟,0,0,0,0
flat,今天平开(涨幅=0%)，第二天概率情况,5分钟,0,0,0,0
flat,今天平开(涨幅=0%)，第二天概率情况,15分钟,0,0,0,0
flat,今天平开(涨幅=0%)，第二天概率情况,30分钟,0,0,0,0
flat,今天平开(涨幅=0%)，第二天概率情况,1小时,0,0,0,0
5-7,今天5-7%，明天概率情况,竞价,0,0,0,0
5-7,今天5-7%，明天概率情况,1分钟,0,0,0,0
5-7,今天5-7%，明天概率情况,5分钟,0,0,0,0
5-7,今天5-7%，明天概率情况,15分钟,0,0,0,0
5-7,今天5-7%，明天概率情况,30分钟,0,0,0,0
5-7,今天5-7%，明天概率情况,1小时,0,0,0,0
7-9,今天7-9%，明天概率情况,竞价,0,0,0,0
7-9,今天7-9%，明天概率情况,1分钟,0,0,0,0
7-9,今天7-9%，明天概率情况,5分钟,0,0,0,0
7-9,今天7-9%，明天概率情况,15分钟,0,0,0,0
7-9,今天7-9%，明天概率情况,30分钟,0,0,0,0
7-9,今天7-9%，明天概率情况,1小时,0,0,0,0
