股票代码,股票名称,当日涨幅,场景描述,时间段,涨概率,跌概率,平概率,成交量占比,样本数,最大涨幅,最小涨幅,收盘涨幅
600192.SH,长城电工,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,竞价,83.84,13.13,3.03,1.03,99,,,
600192.SH,长城电工,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,1分钟,83.84,13.13,3.03,0.0,99,,,
600192.SH,长城电工,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,5分钟,83.84,13.13,3.03,0.0,99,0.12,-0.1,0.11
600192.SH,长城电工,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,15分钟,86.87,12.12,1.01,0.0,99,0.1,-0.04,0.1
600192.SH,长城电工,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,30分钟,89.9,8.08,2.02,0.0,99,0.1,-0.03,0.09
600192.SH,长城电工,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,1小时,92.93,6.06,1.01,0.0,99,0.09,-0.03,0.09
600192.SH,长城电工,1-3,今天1-3%，明天概率情况,竞价,17.31,77.88,4.81,0.25,104,,,
600192.SH,长城电工,1-3,今天1-3%，明天概率情况,1分钟,16.35,78.85,4.81,0.0,104,,,
600192.SH,长城电工,1-3,今天1-3%，明天概率情况,5分钟,16.5,78.64,4.85,0.0,103,0.08,-0.13,0.07
600192.SH,长城电工,1-3,今天1-3%，明天概率情况,15分钟,14.42,85.58,0.0,0.0,104,0.05,-0.13,0.04
600192.SH,长城电工,1-3,今天1-3%，明天概率情况,30分钟,12.5,87.5,0.0,0.0,104,0.03,-0.13,0.03
600192.SH,长城电工,1-3,今天1-3%，明天概率情况,1小时,14.42,84.62,0.96,0.0,104,0.05,-0.12,0.01
600192.SH,长城电工,涨停,今天涨停()涨停，明天概率情况,竞价,0.0,100.0,0.0,0.03,15,,,
600192.SH,长城电工,涨停,今天涨停()涨停，明天概率情况,1分钟,0.0,100.0,0.0,0.0,15,,,
600192.SH,长城电工,涨停,今天涨停()涨停，明天概率情况,5分钟,0.0,100.0,0.0,0.0,15,0.74,-1.19,0.0
600192.SH,长城电工,涨停,今天涨停()涨停，明天概率情况,15分钟,6.67,93.33,0.0,0.0,15,0.74,-1.15,0.74
600192.SH,长城电工,涨停,今天涨停()涨停，明天概率情况,30分钟,6.67,93.33,0.0,0.0,15,0.74,-1.13,0.74
600192.SH,长城电工,涨停,今天涨停()涨停，明天概率情况,1小时,6.67,93.33,0.0,0.0,15,0.74,-0.78,0.74
600192.SH,长城电工,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,竞价,96.15,3.85,0.0,0.49,26,,,
