股票代码,股票名称,当日涨幅,场景描述,时间段,涨概率,跌概率,平概率,最大涨幅,最小涨幅,收盘涨幅,成交量占比,样本数
600635.SH,大众公用,small_down,今天小跌(-1% ~ 0)，明天概率情况,竞价,26.53,42.86,30.61,0.0,0.0,0.0,0.11,98
600635.SH,大众公用,small_down,今天小跌(-1% ~ 0)，明天概率情况,1分钟,25.25,43.43,31.31,0.0,0.0,0.0,0.0,99
600635.SH,大众公用,small_down,今天小跌(-1% ~ 0)，明天概率情况,5分钟,27.27,47.47,25.25,0.02,-0.02,0.02,0.0,99
600635.SH,大众公用,small_down,今天小跌(-1% ~ 0)，明天概率情况,15分钟,32.32,51.52,16.16,0.03,-0.02,0.02,0.0,99
600635.SH,大众公用,small_down,今天小跌(-1% ~ 0)，明天概率情况,30分钟,36.36,47.47,16.16,0.05,-0.03,0.04,0.0,99
600635.SH,大众公用,small_down,今天小跌(-1% ~ 0)，明天概率情况,1小时,33.33,49.49,17.17,0.07,-0.03,0.07,0.0,99
600635.SH,大众公用,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,竞价,38.54,32.29,29.17,0.32,0.32,0.32,0.07,96
600635.SH,大众公用,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,1分钟,38.14,31.96,29.9,0.0,0.0,0.0,0.0,97
600635.SH,大众公用,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,5分钟,55.67,29.9,14.43,0.07,-0.05,0.05,0.0,97
600635.SH,大众公用,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,15分钟,48.45,34.02,17.53,0.07,-0.05,0.04,0.0,97
600635.SH,大众公用,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,30分钟,51.55,28.87,19.59,0.07,-0.05,0.05,0.0,97
600635.SH,大众公用,medium_down,今天中跌(-3% ~ -1%)，明天概率情况,1小时,55.67,31.96,12.37,0.1,-0.07,0.1,0.0,97
600635.SH,大众公用,3-5,今天3-5%，明天概率情况,竞价,22.73,59.09,18.18,0.0,0.0,0.0,0.47,22
600635.SH,大众公用,3-5,今天3-5%，明天概率情况,1分钟,21.74,60.87,17.39,0.0,0.0,0.0,0.0,23
600635.SH,大众公用,3-5,今天3-5%，明天概率情况,5分钟,34.78,56.52,8.7,0.34,-0.29,0.29,0.0,23
600635.SH,大众公用,3-5,今天3-5%，明天概率情况,15分钟,30.43,65.22,4.35,0.34,-0.43,0.21,0.0,23
600635.SH,大众公用,3-5,今天3-5%，明天概率情况,30分钟,34.78,65.22,0.0,0.34,-0.43,0.22,0.0,23
600635.SH,大众公用,3-5,今天3-5%，明天概率情况,1小时,43.48,56.52,0.0,0.39,-0.43,0.39,0.0,23
600635.SH,大众公用,micro_up,今天微涨(0 ~ 1%)，明天概率情况,竞价,28.97,43.93,27.1,0.0,0.0,0.0,0.26,107
600635.SH,大众公用,micro_up,今天微涨(0 ~ 1%)，明天概率情况,1分钟,29.09,46.36,24.55,0.0,0.0,0.0,0.0,110
600635.SH,大众公用,micro_up,今天微涨(0 ~ 1%)，明天概率情况,5分钟,37.27,42.73,20.0,0.09,-0.02,0.09,0.0,110
600635.SH,大众公用,micro_up,今天微涨(0 ~ 1%)，明天概率情况,15分钟,36.36,48.18,15.45,0.09,-0.03,0.09,0.0,110
600635.SH,大众公用,micro_up,今天微涨(0 ~ 1%)，明天概率情况,30分钟,39.09,44.55,16.36,0.09,-0.03,0.09,0.0,110
600635.SH,大众公用,micro_up,今天微涨(0 ~ 1%)，明天概率情况,1小时,36.36,51.82,11.82,0.09,-0.03,0.09,0.0,110
600635.SH,大众公用,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,竞价,43.75,43.75,12.5,-0.29,-0.29,-0.29,0.46,16
600635.SH,大众公用,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,1分钟,43.75,43.75,12.5,0.0,0.0,0.0,0.0,16
600635.SH,大众公用,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,5分钟,37.5,62.5,0.0,0.24,-0.27,0.11,0.0,16
600635.SH,大众公用,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,15分钟,43.75,50.0,6.25,0.24,-0.27,0.17,0.0,16
600635.SH,大众公用,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,30分钟,37.5,37.5,25.0,0.27,-0.27,0.23,0.0,16
600635.SH,大众公用,limit_down,今天跌停(-5% ~ -7%)，明天概率情况,1小时,50.0,37.5,12.5,0.47,-0.28,0.3,0.0,16
600635.SH,大众公用,1-3,今天1-3%，明天概率情况,竞价,18.84,53.62,27.54,-0.32,-0.32,-0.32,0.02,69
600635.SH,大众公用,1-3,今天1-3%，明天概率情况,1分钟,20.83,55.56,23.61,0.0,0.0,0.0,0.0,72
600635.SH,大众公用,1-3,今天1-3%，明天概率情况,5分钟,43.06,41.67,15.28,0.14,-0.04,0.11,0.0,72
600635.SH,大众公用,1-3,今天1-3%，明天概率情况,15分钟,40.28,44.44,15.28,0.14,-0.04,0.08,0.0,72
600635.SH,大众公用,1-3,今天1-3%，明天概率情况,30分钟,43.06,41.67,15.28,0.14,-0.05,0.08,0.0,72
