股票代码,股票名称,当日涨幅,场景描述,时间段,涨概率,跌概率,平概率,最大涨幅,最小涨幅,收盘涨幅,成交量占比,样本数
603758.SH,秦安股份,5-7,今天5-7%，明天概率情况,竞价,0.0,100.0,0.0,-8.81,-8.81,-8.81,14.99,5
603758.SH,秦安股份,5-7,今天5-7%，明天概率情况,1分钟,0.0,100.0,0.0,0.0,0.0,0.0,0.0,5
603758.SH,秦安股份,5-7,今天5-7%，明天概率情况,5分钟,0.0,100.0,0.0,0.0,-2.18,0.0,0.0,5
603758.SH,秦安股份,5-7,今天5-7%，明天概率情况,15分钟,0.0,100.0,0.0,0.0,-2.18,0.0,0.0,5
603758.SH,秦安股份,5-7,今天5-7%，明天概率情况,30分钟,0.0,100.0,0.0,0.0,-2.18,0.0,0.0,5
603758.SH,秦安股份,5-7,今天5-7%，明天概率情况,1小时,0.0,100.0,0.0,0.0,-2.18,0.0,0.0,5
603758.SH,秦安股份,1-3,今天1-3%，明天概率情况,竞价,32.0,68.0,0.0,-1.81,-1.81,-1.81,0.03,25
603758.SH,秦安股份,1-3,今天1-3%，明天概率情况,1分钟,32.0,68.0,0.0,0.0,0.0,0.0,0.0,25
603758.SH,秦安股份,1-3,今天1-3%，明天概率情况,5分钟,32.0,68.0,0.0,0.36,-0.4,0.22,0.0,25
603758.SH,秦安股份,1-3,今天1-3%，明天概率情况,15分钟,20.0,80.0,0.0,0.36,-0.4,0.21,0.0,25
603758.SH,秦安股份,1-3,今天1-3%，明天概率情况,30分钟,20.0,76.0,4.0,0.36,-0.4,0.19,0.0,25
603758.SH,秦安股份,1-3,今天1-3%，明天概率情况,1小时,16.0,84.0,0.0,0.36,-0.4,0.14,0.0,25
603758.SH,秦安股份,3-5,今天3-5%，明天概率情况,竞价,12.5,87.5,0.0,-3.77,-3.77,-3.77,0.0,8
603758.SH,秦安股份,3-5,今天3-5%，明天概率情况,1分钟,12.5,87.5,0.0,0.0,0.0,0.0,0.0,8
603758.SH,秦安股份,3-5,今天3-5%，明天概率情况,5分钟,0.0,87.5,12.5,0.89,-1.01,0.0,0.0,8
603758.SH,秦安股份,3-5,今天3-5%，明天概率情况,15分钟,0.0,100.0,0.0,0.89,-1.02,0.0,0.0,8
