ts_code,symbol,name,area,industry,market,list_date,total_mv,circ_mv
000001.SZ,000001,平安银行,深圳,银行,主板,19910403,22646706.5371,22646355.6552
000002.SZ,000002,万科A,深圳,全国地产,主板,19910129,8983824.2317,7316852.7063
000004.SZ,000004,国华网安,深圳,软件服务,主板,19910114,162033.4652,154576.6258
000006.SZ,000006,深振业A,深圳,区域地产,主板,19920427,869396.8096,869391.883
000007.SZ,000007,全新好,深圳,其他商业,主板,19920413,220687.404,220687.404
000008.SZ,000008,神州高铁,北京,运输设备,主板,19920507,752436.6182,744028.7494
000009.SZ,000009,中国宝安,深圳,电气设备,主板,19910625,2212965.582,2189127.218
000010.SZ,000010,美丽生态,深圳,建筑工程,主板,19951027,327650.9032,149896.1379
000011.SZ,000011,深物业A,深圳,房产服务,主板,19920330,488106.8763,431183.4697
000012.SZ,000012,南玻A,深圳,玻璃,主板,19920228,1513851.2088,965918.7922
000014.SZ,000014,沙河股份,深圳,全国地产,主板,19920602,239625.7618,239625.7618
000016.SZ,000016,深康佳A,深圳,家用电器,主板,19920327,1293066.6841,857370.8706
000017.SZ,000017,深中华A,深圳,服饰,主板,19920331,391457.0419,172095.4601
000019.SZ,000019,深粮控股,深圳,农业综合,主板,19921012,741080.1683,267627.1497
000020.SZ,000020,深华发A,深圳,元器件,主板,19920428,354801.0174,227000.2349
000021.SZ,000021,深科技,深圳,元器件,主板,19940202,3133659.8767,3133330.8157
000025.SZ,000025,特力A,深圳,综合类,主板,19930621,693141.7786,631587.5386
000026.SZ,000026,飞亚达,深圳,服饰,主板,19930603,445934.6437,400881.486
000027.SZ,000027,深圳能源,深圳,火力发电,主板,19930903,2940066.9681,2940066.9681
000028.SZ,000028,国药一致,深圳,医药商业,主板,19930809,1435937.8987,1233378.5795
000029.SZ,000029,深深房A,深圳,区域地产,主板,19930915,1486128.54,1309848.54
000030.SZ,000030,富奥股份,吉林,汽车配件,主板,19930929,1018861.2047,989942.5347
000031.SZ,000031,大悦城,深圳,全国地产,主板,19931008,1153018.2882,1076776.6485
000032.SZ,000032,深桑达A,深圳,建筑工程,主板,19931028,3025833.6032,1714426.9734
000034.SZ,000034,神州数码,深圳,软件服务,主板,19940509,3342678.453,2767449.8109
000035.SZ,000035,中国天楹,江苏,环境保护,主板,19940408,1172867.3124,1137697.4263
000036.SZ,000036,华联控股,深圳,全国地产,主板,19940617,609896.8843,608557.0017
000037.SZ,000037,深南电A,深圳,火力发电,主板,19940701,481607.3142,270777.2296
000039.SZ,000039,中集集团,深圳,运输设备,主板,19940408,4540502.1642,1937784.8127
000040.SZ,000040,*ST旭蓝,深圳,新型电力,主板,19940808,121923.6573,86477.0352
000042.SZ,000042,中洲控股,深圳,全国地产,主板,19940921,398898.6834,398478.7212
000045.SZ,000045,深纺织A,深圳,元器件,主板,19940815,539445.7692,486728.2692
