ts_code,symbol,name,area,industry,market,list_date,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
000006.SZ,000006,深振业A,深圳,区域地产,主板,19920427,20250307,6.44,2.9066,4.6131,1.0,,,1.3482,3.0933,1.2768,0.0,,134999.5046,134998.7396,85059.9248,869396.8096,869391.883
000008.SZ,000008,神州高铁,北京,运输设备,主板,19920507,20250307,2.77,2.2876,3.7845,0.95,,,2.2284,2.9958,3.2814,0.0,,271637.7683,268602.4366,162360.5909,752436.6182,744028.7494
000009.SZ,000009,中国宝安,深圳,电气设备,主板,19910625,20250307,8.58,0.9526,1.4608,0.85,29.2543,47.7634,2.1808,0.7209,1.0627,0.5245,0.5245,257921.3965,255143.0324,166387.8284,2212965.582,2189127.218
000011.SZ,000011,深物业A,深圳,房产服务,主板,19920330,20250307,8.19,0.7715,2.1718,0.85,10.5192,20.6611,1.0898,1.6462,2.6305,3.8095,3.8095,59597.9092,52647.5543,18702.6342,488106.8763,431183.4697
000025.SZ,000025,特力A,深圳,综合类,主板,19930621,20250307,16.08,1.2682,2.7492,1.14,58.6141,45.4118,4.0806,3.7533,2.5734,0.1928,0.1928,43105.832,39277.832,18118.6699,693141.7786,631587.5386
000026.SZ,000026,飞亚达,深圳,服饰,主板,19930603,20250307,10.99,1.5738,3.1436,0.66,13.3843,16.8123,1.3233,0.9759,1.0924,3.6407,3.6407,40576.4007,36476.9323,18262.1518,445934.6437,400881.486
000028.SZ,000028,国药一致,深圳,医药商业,主板,19930809,20250307,25.8,0.4463,1.2319,0.59,8.9788,9.7343,0.7933,0.1902,0.1905,2.6357,2.6357,55656.5077,47805.3713,17321.1226,1435937.8987,1233378.5795
000029.SZ,000029,深深房A,深圳,区域地产,主板,19930915,20250307,14.69,0.3586,1.2155,0.81,,,4.0153,27.9933,38.6205,0.0,,101166.0,89166.0,26301.7736,1486128.54,1309848.54
000030.SZ,000030,富奥股份,吉林,汽车配件,主板,19930929,20250307,5.85,0.9645,3.3687,0.93,16.8646,15.3009,1.3221,0.6431,0.6223,4.2184,4.2184,174164.3085,169220.9461,48449.2428,1018861.2047,989942.5347
000031.SZ,000031,大悦城,深圳,全国地产,主板,19931008,20250307,2.69,0.4522,1.7517,0.78,,,0.8771,0.3135,0.3154,0.0,,428631.3339,400288.7169,103339.4287,1153018.2882,1076776.6485
000035.SZ,000035,中国天楹,江苏,环境保护,主板,19940408,20250307,4.69,1.2857,2.0526,1.12,34.7727,31.2614,1.0812,2.2031,2.0089,0.4276,0.4276,250078.3182,242579.4086,151947.834,1172867.3124,1137697.4263
000036.SZ,000036,华联控股,深圳,全国地产,主板,19940617,20250307,4.11,1.8688,2.6056,0.47,74.7169,88.8264,1.2001,10.7907,12.6396,0.0,,148393.4025,148067.397,106200.3011,609896.8843,608557.0017
000042.SZ,000042,中洲控股,深圳,全国地产,主板,19940921,20250307,6.0,3.4827,7.4735,1.09,,,0.7646,0.5234,0.559,0.0,,66483.1139,66413.1202,30948.7189,398898.6834,398478.7212
000045.SZ,000045,深纺织A,深圳,元器件,主板,19940815,20250307,10.65,3.4104,6.9909,1.64,68.0532,58.9009,1.8424,1.7516,1.6425,0.6103,0.6103,50652.1849,45702.1849,22295.2413,539445.7692,486728.2692
000048.SZ,000048,京基智农,深圳,区域地产,主板,19941101,20250307,15.36,2.5294,5.9559,2.1,4.6642,7.4716,1.9688,0.656,1.1498,2.4229,2.4229,53028.225,52675.975,22370.8801,814513.536,809102.976
000049.SZ,000049,德赛电池,深圳,电气设备,主板,19950320,20250307,24.8,1.9662,3.6083,0.64,16.9773,22.6849,1.4912,0.4703,0.4465,1.8145,1.8145,38463.8534,38449.7163,20951.8194,953903.5643,953552.9642
000050.SZ,000050,深天马A,深圳,元器件,主板,19950315,20250307,8.99,0.7748,1.5568,1.1,,,0.8043,0.6847,0.6995,0.0,,245774.7661,245771.9086,122314.289,2209515.1472,2209489.4583
000056.SZ,000056,皇庭国际,深圳,其他商业,主板,19960708,20250307,3.65,19.4794,24.7044,1.07,,,6.0274,3.7696,6.4844,0.0,,121008.872,90367.1558,71254.4658,441682.3828,329840.1187
000058.SZ,000058,深赛格,深圳,商品城,主板,19961226,20250307,8.95,4.0611,13.8589,0.58,121.8034,,5.4897,5.6536,6.0838,0.3352,0.3352,123120.0672,98471.1604,28854.8422,1101924.6014,881316.8856
000059.SZ,000059,华锦股份,辽宁,石油加工,主板,19970130,20250307,4.71,0.9591,1.8108,0.75,107.1605,,0.607,0.1633,0.2,0.2972,0.2972,159944.2537,159944.2537,84712.3362,753337.4349,753337.4349
000060.SZ,000060,中金岭南,深圳,铅锌,主板,19970123,20250307,4.81,1.8314,2.8133,1.33,26.1396,23.3094,1.3445,0.2741,0.3075,1.1642,1.1642,373759.6125,373730.925,243290.2214,1797783.7361,1797645.7493
000061.SZ,000061,农产品,深圳,农业综合,主板,19970110,20250307,6.2,0.4706,1.3061,0.64,23.4357,22.3722,1.6864,1.9164,2.0355,1.7742,1.7742,169696.4131,169693.3006,61139.8363,1052117.7612,1052098.4637
000065.SZ,000065,北方国际,北京,建筑工程,主板,19980605,20250307,11.18,3.6274,7.2009,0.73,12.482,11.6332,1.2629,0.5333,0.5462,0.8045,0.8045,102498.0896,92855.731,46775.8127,1145928.6417,1038127.0726
000068.SZ,000068,华控赛格,深圳,环境保护,主板,19970611,20250307,3.53,1.2168,2.1747,0.57,5.4346,18.1227,5.692,3.8576,4.1708,0.0,,100667.1464,100667.1464,56326.7969,355355.0268,355355.0268
000069.SZ,000069,华侨城A,深圳,全国地产,主板,19970910,20250307,2.44,0.5031,1.0013,0.75,,,0.3463,0.3518,0.3679,0.0,,803775.8053,689461.3407,346409.3445,1961212.9649,1682285.6713
000078.SZ,000078,海王生物,深圳,医药商业,主板,19981218,20250307,2.31,0.5449,1.015,0.91,,,2.002,0.1669,0.188,0.0,,263112.3257,262644.1138,140999.601,607789.4724,606707.9029
000089.SZ,000089,深圳机场,深圳,机场,主板,19980420,20250307,6.72,0.2839,0.6598,0.67,34.7402,24.626,1.2265,3.309,3.0036,1.4881,1.4881,205076.9509,205074.2403,88244.6871,1378117.11,1378098.8948
000090.SZ,000090,天健集团,深圳,建筑工程,主板,19990721,20250307,3.88,0.7411,1.2265,0.73,4.7791,8.8554,0.6474,0.2685,0.3897,6.4433,6.4433,186854.5434,186845.9934,112899.5706,724995.6284,724962.4544
000096.SZ,000096,广聚能源,深圳,石油贸易,主板,20000724,20250307,18.93,2.2618,4.9224,0.52,113.3921,105.3735,3.6257,3.9154,4.5749,0.2905,0.2905,52800.0,51084.8,23472.9623,999504.0,967035.264
000099.SZ,000099,中信海直,深圳,空运,主板,20000731,20250307,25.99,4.0739,6.6382,1.07,84.3175,84.1387,3.8526,10.2362,9.7949,0.3144,0.3144,77577.0137,77577.0137,47609.5662,2016226.5861,2016226.5861
000151.SZ,000151,中成股份,北京,商贸代理,主板,20000906,20250307,13.4,2.6174,3.968,0.74,,,8.4799,1.4738,2.6108,0.0,,33737.0728,30793.4695,20311.8595,452076.7755,412632.4913
000155.SZ,000155,川能动力,四川,新型电力,主板,20000926,20250307,11.0,1.0155,1.7401,0.88,25.4667,23.5219,2.0538,6.1298,6.4651,1.4545,1.4545,184616.8342,169352.2368,98830.8114,2030785.1762,1862874.6048
000156.SZ,000156,华数传媒,浙江,影视音像,主板,20000906,20250307,8.36,1.9684,3.7546,1.19,22.4825,30.3888,1.0498,1.5958,1.6501,2.6316,2.6316,185293.2442,169987.5877,89117.3393,1549051.5215,1421096.2332
000402.SZ,000402,金融街,北京,全国地产,主板,19960626,20250307,3.0,1.0636,2.2373,0.82,,,0.2689,0.7133,0.5584,0.0,,298892.9907,298822.9902,142054.4529,896678.9721,896468.9706
000403.SZ,000403,派林生物,山西,生物制药,主板,19960628,20250307,20.81,0.6973,1.1293,1.04,24.8544,18.3596,1.9804,6.5331,5.3491,1.6815,1.6815,73107.4913,72694.0146,44888.6116,1521366.894,1512762.4438
000404.SZ,000404,长虹华意,江西,家用电器,主板,19960619,20250307,7.2,1.9069,2.7531,1.17,13.837,10.8223,1.2541,0.3888,0.4229,3.4722,3.4722,69599.5979,69298.9172,47999.42,501117.1049,498952.2038
000410.SZ,000410,沈阳机床,辽宁,机床制造,主板,19960718,20250307,6.99,1.9679,2.8131,2.12,415.2428,,15.6304,9.6127,10.2208,0.0,,206474.6603,168091.5944,117587.36,1443257.8755,1174960.2449
000415.SZ,000415,渤海租赁,新疆,多元金融,主板,19960716,20250307,3.38,1.9976,2.8764,1.26,16.3145,10.3351,0.6861,0.6208,0.5878,0.0,,618452.1282,539271.251,374512.6274,2090368.1933,1822736.8284
000417.SZ,000417,合百集团,安徽,百货,主板,19960812,20250307,5.48,1.3977,2.256,0.73,16.1868,20.2856,0.9058,0.639,0.6206,2.0073,2.0073,77988.42,77902.7451,48263.6984,427376.5416,426907.0431
000419.SZ,000419,通程控股,湖南,百货,主板,19960816,20250307,5.75,2.1502,3.8624,1.02,24.1161,19.8239,0.9173,1.565,1.713,2.087,2.087,54358.2655,54358.2655,30261.0171,312560.0266,312560.0266
000420.SZ,000420,吉林化纤,吉林,化纤,主板,19960802,20250307,3.84,2.4307,3.0728,0.48,293.3623,237.3178,2.1339,2.5268,2.4986,0.0,,245886.8343,245801.8143,194438.0221,944205.4437,943878.9669
000421.SZ,000421,南京公用,江苏,供气供热,主板,19960806,20250307,6.06,2.0624,4.4918,0.73,,,1.3171,0.7537,0.7072,1.6557,1.6557,57606.0994,57426.2434,26367.1787,349092.9624,348003.035
000422.SZ,000422,湖北宜化,湖北,农药化肥,主板,19960815,20250307,12.24,1.8304,2.6052,0.73,29.2508,16.132,1.7904,0.7778,0.7862,2.5539,2.5539,108291.4712,105781.7191,74322.0356,1325487.6075,1294768.2418
000428.SZ,000428,华天酒店,湖南,酒店餐饮,主板,19960808,20250307,3.03,1.1535,2.5749,0.87,,,1.9006,4.4901,4.8729,0.0,,101892.6,101892.6,45646.708,308734.578,308734.578
000498.SZ,000498,山东路桥,山东,建筑工程,主板,19970609,20250307,5.77,0.5966,1.4138,0.78,3.9354,3.852,0.6405,0.1233,0.1284,3.6182,3.6182,156099.8221,145790.3976,61523.0809,900695.9735,841210.5942
000501.SZ,000501,武商集团,湖北,百货,主板,19921120,20250307,8.46,1.4552,2.3295,0.6,31.1161,30.3015,0.593,0.9064,0.9485,1.7566,1.7566,76899.2731,76829.3891,47994.1448,650567.8504,649976.6318
000503.SZ,000503,国新健康,山东,软件服务,主板,19921130,20250307,11.61,2.4302,3.2264,0.88,,,8.1986,34.5111,30.8428,0.0,,98131.2532,95511.1492,71940.8899,1139303.8497,1108884.4422
000504.SZ,000504,南华生物,湖南,医疗保健,主板,19921208,20250307,10.89,4.5943,7.3057,1.71,,,14.454,26.2733,28.8791,0.0,,33002.3098,31066.8701,19536.7046,359395.1537,338318.2154
000505.SZ,000505,京粮控股,海南,食品,主板,19921221,20250307,5.93,0.6676,1.4291,0.64,42.1192,83.6649,1.3713,0.3622,0.3228,1.1973,1.1973,72695.0251,63238.0336,29543.0315,431081.4988,375001.5392
000507.SZ,000507,珠海港,广东,港口,主板,19930326,20250307,4.9,0.7905,1.1384,1.21,16.2566,15.6384,0.8587,0.826,0.8295,0.2411,0.2411,91973.4895,90233.7753,62659.0603,450670.0986,442145.499
