ts_code,symbol,name,area,industry,market,list_date,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
000001.SZ,000001,平安银行,深圳,银行,主板,19910403,20250307,11.67,0.4306,0.9714,0.95,4.875,4.8651,0.5447,1.375,1.5235,8.2691,8.2691,1940591.8198,1940561.7528,860097.6804,22646706.5371,22646355.6552
000002.SZ,000002,万科A,深圳,全国地产,主板,19910129,20250307,7.53,1.6402,2.4617,0.83,7.3864,,0.3837,0.1929,0.2273,0.0,,1193070.9471,971693.5865,647412.5074,8983824.2317,7316852.7063
000004.SZ,000004,国华网安,深圳,软件服务,主板,19910114,20250307,12.24,6.8599,8.4866,1.11,,,10.1431,14.7238,15.3742,0.0,,13238.0282,12628.8093,10208.1245,162033.4652,154576.6258
000007.SZ,000007,全新好,深圳,其他商业,主板,19920413,20250307,6.37,0.9813,1.5979,0.73,61.3544,77.9862,17.116,10.1987,10.1553,0.0,,34644.8044,34644.8044,21275.216,220687.404,220687.404
000014.SZ,000014,沙河股份,深圳,全国地产,主板,19920602,20250307,9.9,2.5346,3.8413,1.1,4.5926,32.5861,1.4488,1.7249,4.9215,2.1818,2.1818,24204.6224,24204.6224,15971.0154,239625.7618,239625.7618
000021.SZ,000021,深科技,深圳,元器件,主板,19940202,20250307,20.08,3.9807,6.0786,0.83,48.6139,36.4609,2.7099,2.1968,2.2154,0.6474,0.6474,156058.7588,156042.3713,102186.4936,3133659.8767,3133330.8157
000027.SZ,000027,深圳能源,深圳,火力发电,主板,19930903,20250307,6.18,0.2463,0.7925,0.81,14.3703,25.6981,0.9759,0.7259,0.7073,2.2654,2.2654,475738.9916,475738.9916,147844.3143,2940066.9681,2940066.9681
000032.SZ,000032,深桑达A,深圳,建筑工程,主板,19931028,20250307,26.59,14.2764,20.8202,1.06,91.7917,63.9949,4.9952,0.5376,0.4582,0.4137,0.4137,113795.9234,64476.3811,44211.3657,3025833.6032,1714426.9734
000034.SZ,000034,神州数码,深圳,软件服务,主板,19940509,20250307,49.21,15.2568,18.0296,1.07,28.5264,27.5196,3.61,0.2794,0.2631,0.872,0.872,67926.8127,56237.5495,47588.7629,3342678.453,2767449.8109
000039.SZ,000039,中集集团,深圳,运输设备,主板,19940408,20250307,8.42,1.3003,1.6846,1.45,107.7867,25.8911,0.9707,0.3553,0.2809,0.2585,0.2585,539252.0385,230140.7141,177640.7141,4540502.1642,1937784.8127
000062.SZ,000062,深圳华强,深圳,元器件,主板,19970130,20250307,22.48,1.4305,4.7201,0.85,50.3091,72.7707,3.3951,1.1417,1.0428,2.0018,2.0018,104590.9322,104442.0366,31653.1526,2351204.1559,2347856.9828
000063.SZ,000063,中兴通讯,深圳,通信设备,主板,19971118,20250307,37.29,3.0476,4.0,0.71,21.173,21.173,2.45,1.4706,1.4706,1.8315,1.8315,478353.4887,402737.371,306843.331,17837801.5936,15018076.5646
000066.SZ,000066,中国长城,深圳,IT设备,主板,19970626,20250307,16.48,4.9449,8.2587,0.99,,,4.426,3.9613,3.5506,0.0,,322579.9088,322558.9838,193131.473,5316116.897,5315772.053
000088.SZ,000088,盐田港,深圳,港口,主板,19970728,20250307,4.63,0.3527,1.0845,1.03,21.7207,17.8968,1.3476,26.9519,30.3359,3.2401,3.2401,519948.3346,224913.5473,73133.3473,2407360.7892,1041349.724
000100.SZ,000100,TCL科技,广东,元器件,主板,20040130,20250307,4.77,1.211,1.2519,0.58,40.4419,42.0774,1.6896,0.5137,0.5452,1.6771,1.6771,1877908.0767,1809812.8471,1750662.0468,8957621.5259,8632807.2807
000153.SZ,000153,丰原药业,安徽,化学制药,主板,20000920,20250307,5.99,1.7924,2.4661,1.03,17.478,16.9627,1.3943,0.6512,0.6455,1.7889,1.7889,46477.3722,45294.3722,32920.8047,278399.4595,271313.2895
000157.SZ,000157,中联重科,湖南,工程机械,主板,20001012,20250307,8.28,1.298,1.9493,0.67,20.4944,18.9589,1.2581,1.5264,1.5639,3.8647,3.8647,867799.2236,707051.0063,470801.4387,7185377.5714,5854382.3322
000158.SZ,000158,常山北明,河北,软件服务,主板,20000724,20250307,24.91,8.6328,13.5353,0.83,,,7.151,4.4211,4.2969,0.0,,159861.6721,158781.881,101270.7352,3982154.252,3955256.6557
000159.SZ,000159,国际实业,新疆,石油贸易,主板,20000926,20250307,5.42,2.2661,2.9362,0.89,32.242,,1.2973,0.5771,0.9873,0.0,,48068.5993,48068.5993,37097.7105,260531.8082,260531.8082
000166.SZ,000166,申万宏源,新疆,证券,主板,20150126,20250307,5.08,0.4009,0.9308,0.97,27.6147,30.9586,1.239,5.9162,5.61,1.437,1.437,2503994.456,2253550.7316,970578.3453,12720291.8365,11448037.7165
000301.SZ,000301,东方盛虹,江苏,化纤,主板,20000529,20250307,9.6,0.223,0.6393,0.8,88.5146,,1.9597,0.4519,0.4374,1.0417,1.0417,661122.2758,660854.8186,230523.6996,6346773.8477,6344206.2586
000333.SZ,000333,美的集团,广东,家用电器,主板,20130918,20250307,70.79,0.4566,0.6663,0.83,16.0806,14.3823,2.5963,1.4575,1.3559,4.1882,4.1882,765977.5595,689442.5671,472524.6958,54223551.437,48805639.325
000338.SZ,000338,潍柴动力,山东,汽车配件,主板,20070430,20250307,16.59,1.7345,1.7616,1.01,16.0612,13.2647,1.7408,0.6766,0.6717,4.0031,4.0031,872655.6821,497603.1217,489938.6197,14477357.766,8255235.789
000400.SZ,000400,许继电气,河南,电气设备,主板,19970418,20250307,24.28,1.923,3.1171,1.13,24.6058,21.931,2.2356,1.45,1.5478,1.9853,2.3272,101887.4309,100832.0309,62203.3855,2473826.8223,2448201.7103
000407.SZ,000407,胜利股份,山东,供气供热,主板,19960703,20250307,3.21,0.9381,1.3504,1.04,18.4172,17.529,0.9577,0.604,0.6112,1.7134,1.7134,88008.4656,87576.6681,60841.3507,282507.1746,281121.1046
000408.SZ,000408,藏格矿业,青海,农药化肥,主板,19960628,20250307,33.03,0.4745,1.0509,1.0,15.1656,22.3622,4.0159,9.9249,15.4351,3.2098,3.2098,157022.5745,157020.9245,70901.2707,5186455.6357,5186401.1362
000423.SZ,000423,东阿阿胶,山东,中成药,主板,19960729,20250307,56.86,0.7057,1.0611,0.58,31.8161,24.1026,3.6942,7.7655,6.5198,5.1425,5.1425,64397.6824,64397.6824,42826.5351,3661652.2213,3661652.2213
000425.SZ,000425,徐工机械,江苏,工程机械,主板,19960828,20250307,9.5,1.7167,1.7347,1.0,21.0747,19.3668,1.9079,1.209,1.2486,1.8947,1.8947,1181616.6093,812009.2209,803561.4762,11225357.7884,7714087.5986
000426.SZ,000426,兴业银锡,内蒙,铅锌,主板,19960828,20250307,13.5,2.7722,4.1939,2.33,24.7292,13.8864,3.1326,6.4682,5.2364,0.4982,0.4982,177563.5739,177523.5464,117345.6407,2397108.2477,2396567.8764
000429.SZ,000429,粤高速A,广东,路桥,主板,19980220,20250307,13.5,0.8108,1.9893,0.72,18.0689,18.0689,2.6964,6.1765,6.1765,4.0519,4.0519,209080.6126,130332.9006,53119.4317,2822588.2701,1759494.1581
000430.SZ,000430,张家界,湖南,旅游景点,主板,19960829,20250307,6.9,3.9727,5.0316,1.37,,,3.4646,6.6513,6.9249,0.0,,40481.7686,33173.88,26192.4635,279324.2033,228899.772
000510.SZ,000510,新金路,四川,化工原料,主板,19930507,20250307,3.79,3.3177,3.6989,1.23,,,1.8053,0.9493,1.3017,0.0,,64854.3589,60666.4817,54414.8214,245798.0202,229925.9656
000513.SZ,000513,丽珠集团,广东,化学制药,主板,19931028,20250307,34.13,0.7881,1.2688,1.12,15.9211,15.3614,2.2882,2.5023,2.6233,4.0394,4.0394,91134.573,58433.3053,36295.6264,3110422.9765,1994328.7099
000518.SZ,000518,四环生物,江苏,生物制药,主板,19930908,20250307,2.16,2.2395,3.4842,0.62,,,4.7611,9.4463,10.5157,0.0,,102955.6222,102953.5693,66173.2896,222384.144,222379.7097
000519.SZ,000519,中兵红箭,湖南,专用机械,主板,19931008,20250307,16.51,4.8673,8.441,2.07,27.756,40.8569,2.2252,3.7592,3.9455,0.3331,0.3331,139255.8982,139255.8982,80297.7002,2299114.8793,2299114.8793
000528.SZ,000528,柳工,广西,工程机械,主板,19931118,20250307,12.99,3.245,4.3299,1.01,30.2253,19.2565,1.4835,0.9532,0.8964,1.4878,1.4878,201923.7337,201845.1798,151269.8246,2622989.3008,2621968.8856
000538.SZ,000538,云南白药,云南,中成药,主板,19931215,20250307,55.17,0.3617,0.8889,0.65,24.0457,22.9083,2.5663,2.5169,2.5024,5.9631,5.9631,178426.2603,176940.0035,72004.0166,9843776.7808,9761779.9931
000539.SZ,000539,粤电力A,广东,火力发电,主板,19931126,20250307,4.47,0.6775,1.9029,1.12,24.0789,32.8282,0.9991,0.3931,0.4114,0.4474,0.4474,525028.3986,255389.6649,90923.3985,2346876.9417,1141591.8021
000545.SZ,000545,金浦钛业,吉林,化工原料,主板,19931215,20250307,2.19,3.3405,4.5049,1.11,,,1.6179,0.9545,0.9846,0.0,,98683.3096,98540.3096,73070.3096,216116.448,215803.278
000548.SZ,000548,湖南投资,湖南,路桥,主板,19931220,20250307,5.16,1.4193,2.0969,1.03,17.3226,14.9277,1.2584,2.0609,1.7859,1.7442,1.7442,49921.5811,49918.8811,33788.2354,257595.3585,257581.4265
000554.SZ,000554,泰山石油,山东,石油贸易,主板,19931215,20250307,5.81,2.1237,2.1237,0.65,80.0712,43.1036,2.803,0.7672,0.8015,0.7401,0.7401,48079.3318,36265.3197,36265.3197,279340.9178,210701.5075
000559.SZ,000559,万向钱潮,浙江,汽车配件,主板,19940110,20250307,6.76,1.134,3.1475,1.05,27.1857,23.9647,2.452,1.5417,1.5673,2.2189,2.2189,330379.1344,330377.8789,119034.4163,2233362.9485,2233354.4614
000564.SZ,000564,供销大集,陕西,百货,主板,19940110,20250307,2.97,2.2949,3.9482,0.9,,,3.2507,38.3249,35.9855,0.0,,1805806.3354,1471503.0732,855328.4452,5363244.8161,4370364.1274
000565.SZ,000565,渝三峡A,重庆,染料涂料,主板,19940408,20250307,5.37,0.7487,1.2593,0.73,,,1.8634,4.6549,5.9513,0.2793,0.2793,43359.222,43359.222,25778.3238,232839.0221,232839.0221
000568.SZ,000568,泸州老窖,四川,白酒,主板,19940509,20250307,131.41,1.4667,2.9837,1.96,14.6024,13.5518,4.4541,6.3979,5.9345,4.1094,5.1433,147195.1503,146934.5363,72228.5832,19342914.7009,19308667.4152
000573.SZ,000573,粤宏远A,广东,区域地产,主板,19940815,20250307,4.37,9.4947,11.8864,0.55,42.2071,29.1653,1.7501,7.9185,5.6123,1.373,1.373,63828.0604,63296.4819,50560.5112,278928.6239,276605.6259
000581.SZ,000581,威孚高科,江苏,汽车配件,主板,19980924,20250307,23.46,9.3888,15.6146,2.59,12.7303,13.0476,1.2147,2.1084,2.1324,5.0427,5.0427,99698.6293,82380.0118,49533.7319,2338929.8434,1932635.0768
000586.SZ,000586,汇源通信,四川,通信设备,主板,19951220,20250307,10.11,5.2502,7.8187,0.81,98.0827,,5.9154,3.9444,4.5926,0.0,,19344.0,19344.0,12989.4369,195567.84,195567.84
000590.SZ,000590,启迪药业,湖南,中成药,主板,19960119,20250307,9.43,4.3875,8.0501,0.74,89.4456,,3.248,5.5807,6.5219,0.0,,23947.1267,23937.6227,13046.7477,225821.4048,225731.7821
000593.SZ,000593,德龙汇能,四川,供气供热,主板,19960312,20250307,5.45,1.2426,2.173,0.74,,,2.2463,1.2215,1.1361,0.0,,35863.1009,35848.3169,20498.8813,195453.8999,195373.3271
000596.SZ,000596,古井贡酒,安徽,白酒,主板,19960927,20250307,176.2,0.7029,2.0934,0.97,20.2955,16.8638,3.9861,4.5987,3.9855,2.5539,3.1215,52860.0,40860.0,13719.5978,9313932.0,7199532.0
000605.SZ,000605,渤海股份,北京,水务,主板,19960913,20250307,7.66,3.7376,6.6291,1.53,134.2507,121.7909,1.274,1.4643,1.4544,0.2611,0.2611,35265.86,33263.8717,18754.9782,270136.4876,254801.2572
000608.SZ,000608,阳光股份,广西,区域地产,主板,19960919,20250307,2.08,2.5979,3.7209,0.93,,,0.6436,4.8552,5.0271,0.0,,74991.3309,74475.9609,51998.8609,155981.9683,154909.9987
000610.SZ,000610,西安旅游,陕西,旅游服务,主板,19960926,20250307,12.62,6.5605,9.6113,1.14,,,7.284,5.434,6.61,0.0,,23674.7901,23550.4294,16075.2121,298775.8511,297206.419
000612.SZ,000612,焦作万方,河南,铝,主板,19960926,,,,,,,,,,,,,,,,,
000617.SZ,000617,中油资本,新疆,多元金融,主板,19961022,20250307,6.49,0.6835,3.4211,1.14,16.6547,20.5008,0.8104,106.5073,100.7423,1.8028,2.7273,1264207.9079,1264207.9079,252557.9044,8204709.3223,8204709.3223
000619.SZ,000619,海螺新材,安徽,其他建材,主板,19961023,20250307,6.26,5.5091,8.2767,0.63,,,1.0337,0.4765,0.4924,0.0,,44116.8831,36000.0,23962.0607,276171.6882,225360.0
000625.SZ,000625,长安汽车,重庆,汽车整车,主板,19970610,20250307,13.06,0.8566,1.6912,0.93,11.4304,25.7672,1.7827,0.8558,0.8405,2.6274,2.6274,991408.606,826072.778,418427.432,12947796.3944,10788510.4807
000626.SZ,000626,远大控股,江苏,商贸代理,主板,19961128,20250307,5.48,0.7001,1.7223,0.78,,,1.0895,0.0323,0.0318,0.0,,50894.0464,50202.3035,20405.9882,278899.3743,275108.6232
000629.SZ,000629,钒钛股份,四川,小金属,主板,19961115,20250307,2.96,1.5386,3.4373,1.46,26.0133,74.0102,2.2234,1.9133,2.0086,0.0,,929497.0045,929060.0424,415850.7867,2751311.1333,2750017.7255
000630.SZ,000630,铜陵有色,安徽,铜,主板,19961120,20250307,3.35,2.2079,3.4788,1.68,15.8775,15.0211,1.2827,0.3118,0.3036,2.3646,2.3646,1279292.0401,1052645.0266,668070.3802,4285628.3343,3526360.8391
000632.SZ,000632,三木集团,福建,综合类,主板,19961121,20250307,3.39,1.877,2.3903,0.79,,,1.0828,0.1134,0.1212,0.0,,46551.957,46548.1606,36552.1005,157811.1342,157798.2644
000633.SZ,000633,合金投资,新疆,小金属,主板,19961112,20250307,4.88,2.9313,4.0565,1.23,323.1158,462.4689,10.3423,8.0348,9.2502,0.0,,38510.6373,38510.3523,27828.1548,187931.91,187930.5192
000635.SZ,000635,英力特,宁夏,化工原料,主板,19961120,20250307,7.7,1.5755,3.2316,1.01,,,1.7329,1.3375,1.238,0.0,,30348.6737,30308.7602,14776.4915,233684.7875,233377.4535
000637.SZ,000637,茂化实华,广东,石油加工,主板,19961114,20250307,3.53,0.9885,1.2633,0.66,,,2.9523,0.4035,0.547,0.0,,51987.5356,36801.4255,28797.7054,183516.0007,129909.032
000638.SZ,000638,万方发展,吉林,农业综合,主板,19961126,20250307,5.14,3.268,5.154,1.17,,80.0908,9.0792,9.5548,9.1379,0.0,,31138.6551,31014.5601,19665.5601,160052.6872,159414.8389
